word,kelime,english_sentence,turkce_cumle
grapefruit,greyfurt,She made a drink from the grapefruit.,Greyfurttan bir içki yaptı.
great,Harika,Albert Einstein was a great man.,Albert Einstein harika bir adamdı.
green,yeşil,Leaves are green in spring.,Yapraklar ilkbaharda yeşildir.
greengrocer,manav,"The greengrocer sold me tomatoes, cucumbers and onions.","Greengrocer bana domates, salatalık ve soğan sattı."
greeting,selamlama,Greetings from France!,Fransa'dan selamlar!
group,grup,There was a large group of people near the door.,Kapının yakınında büyük bir grup insan vardı.
grow,büyümek,My son is growing very quickly.,Oğlum çok çabuk büyüyor.
hair,saç,He has long hair.,Onun uzun saçları var.
hairdresser,kuaför,I went to the hairdresser to have my hair cut.,Saçımı kesmesi için kuaföre gittim.
half,yarım,Can I have half a kilo of meat please?,Yarım kilo et alabilir miyim lütfen?
hall,salon,The front door opened into a large hall.,Ön kapı büyük bir salona açıldı.
hallo,hallo,She said hallo to everyone in the room.,Odadaki herkese Hallo dedi.
hamburger,Hamburger,I don't eat hamburgers.,Ben hamburger yemiyorum.
hand,el,He writes with his left hand.,Sol eliyle yazıyor.
handkerchief,mendil,She dropped her handkerchief.,Mendilini düşürdü.
handsome,Yakışıklı,My father is very handsome.,Babam çok yakışıklı.
happiness,mutluluk,We wished the bride and groom happiness.,Gelin ve damat mutluluğunu diledik.
happy,mutlu,He was very happy when he won the lottery.,Piyangoyu kazandığında çok mutluydu.
hard,zor,The ground was very hard.,Zemin çok zordu.
hat,şapka,He is looking for his green hat.,Yeşil şapkasını arıyor.
has,sahip olmak,She has a house and a car.,Bir evi ve arabası var.
have,sahip olmak,Where did you have dinner?,Nereden akşam yemeği yedin?
have got,sahip olmak,I've got a lovely cat.,Güzel bir kedim var.
hazelnut,fındık,She loves hazelnuts.,Fındıkları seviyor.
he,O,He is a teacher.,O bir öğretmen.
head,KAFA,I banged my head on the wall.,Başımı duvara vurdum.
hear,duymak,I can't hear you. Speak louder!,Seni duyamıyorum Yüksek sesle konuş!
heart,kalp,His heart stopped and he died.,Kalbi durdu ve öldü.
heavy,ağır,This suitcase is very heavy.,Bu bavul çok ağır.
hello,Merhaba,Hello! how are you?,Merhaba! Nasılsın?
help,yardım,I need your help.,Yardımınıza ihtiyaçım var.
hen,tavuk,They have a lot of hens on the farm.,Çiftlikte çok fazla tavuk var.
her,o,He spoke to the girl and asked her some questions.,Kızla konuştu ve ona bazı sorular sordu.
here,Burada,What are you doing here?,Burada ne yapıyorsun?
herself,kendini,She sewed the dress herself.,Elbiseyi kendini dikti.
hi,MERHABA,Hi! How are you?,MERHABA! Nasılsın?
high,yüksek,The mountains in Tibet are very high.,Tibet'teki dağlar çok yüksek.
him,o,I rang my brother and told him to see me.,Kardeşimi çaldım ve ona beni görmesini söyledim.
himself,kendisi,He built the boat himself.,Tekneyi kendisi inşa etti.
hire,kiralamak,I want to hire a car.,Bir araba kiralamak istiyorum.
his,onun,What's his name?,Onun adı ne?
hit,vurmak,John hit his brother.,John kardeşine vurdu.
hold,tutmak,I want to hold your hand.,Elini tutmak istiyorum.
hole,delik,There was a large hole in the jacket.,Cekette büyük bir delik vardı.
home,Ev,I usually stay home at night.,Genellikle geceleri evde kalırım.
homework,Ev ödevi,Our teacher didn't give us any homework yesterday.,Öğretmenimiz dün bize herhangi bir ödev vermedi.
honest,dürüst,Please give me an honest answer.,Lütfen bana dürüst bir cevap verin.
hope,umut,There's not much hope.,Çok fazla umut yok.
hopeful,umutlu,Are you hopeful about the future?,Gelecek hakkında umutlu mısınız?
horse,atış,Horses run fast.,Atlar hızlı koşar.
hospital,hastane,He has been in hospital for two months.,İki aydır hastanede.
hot,sıcak,This tea isn't hot enough.,Bu çay yeterince sıcak değil.
hotel,otel,The hotel was full of tourists.,Otel turistler doluydu.
hour,saat,There are 24 hours in a day.,Günde 24 saat var.
house,ev,He wants to sell his house.,Evini satmak istiyor.
how,Nasıl,How are you?,Nasılsın?
how many,kaç tane,How many oranges do you want?,Kaç portakal istiyorsun?
how much,Ne kadar,How much sugar did you buy?,Ne kadar şeker satın aldın?
hungry,aç,Are you hungry?,Aç mısın?
husband,koca,My husband speaks three languages.,Kocam üç dil konuşuyor.
hut,kulübe,The soldiers slept in the hut.,Askerler kulübede uyudu.
I,BEN,I didn't do it.,Ben yapmadım.
idea,fikir,That's a very good idea!,Bu çok iyi bir fikir!
if,eğer,If it rains I won't go to the football match.,Yağmur yağarsa futbol maçına gitmeyeceğim.
important,önemli,Happiness is more important than money.,Mutluluk paradan daha önemlidir.
in,içinde,He put the plate in the cupboard.,Plakayı dolaba koydu.
income,gelir,He has a low income.,Düşük geliri var.
information,bilgi,She found the information in the encyclopedia.,Bilgileri ansiklopedide buldu.
ink,mürekkep,He put some ink in his pen.,Kalemine biraz mürekkep koydu.
interesting,ilginç,He is a very interesting man.,O çok ilginç bir adam.
international,uluslararası,He works for an international company.,Uluslararası bir şirkette çalışıyor.
internet,internet,The Internet is changing our life.,İnternet hayatımızı değiştiriyor.
into,içine,He ran into the fire.,Ateşe koştu.
irregular,düzensiz,Go is an irregular verb.,"Go, düzensiz bir fiildir."
it,BT,It was an interesting film.,İlginç bir filmdi.
its,onun,This city has lost its beauty.,Bu şehir güzelliğini kaybetti.
itself,kendisi,The dog bit itself.,Köpek ısırdı.
jacket,ceket,John has a pink jacket.,John'un pembe bir ceketi var.
jam,reçel,His mother made cherry jam.,Annesi kiraz reçeli yaptı.
january,Ocak,It is very cold in January.,Ocak ayında çok soğuk.
jaw,çene,She broke his jaw.,Çenesini kırdı.
job,iş,I'm looking for a job.,İş arıyorum.
join,katılmak,Will you join us?,Bize katılacak mısın?
joy,neşe,He jumped with joy when he heard the news.,Haberleri duyduğunda sevinçle atladı.
juice,Meyve suyu,Would you like some orange juice?,Biraz portakal suyu ister misin?
july,temmuz,The weather is very hot in July.,Temmuz ayında hava çok sıcak.
june,haziran,In June they come to London.,Haziran ayında Londra'ya geliyorlar.
just,Sadece,He has just come.,Az önce geldi.
keep,kale,Please keep your dog from coming into my garden.,Lütfen köpeğinizin bahçeme gelmesini önleyin.
kettle,su ısıtıcısı,She put the kettle on the stove.,Su ısıtıcısını sobaya koydu.
key,anahtar,I'm afraid I've lost your keys.,Korkarım anahtarlarını kaybettim.
kill,öldürmek,Who killed the President?,Başkanı kim öldürdü?
kilo,kilo,How much is a kilo of tomatoes?,Bir kilo domates ne kadar?
kilogram,kilogram,There are 1000 grammes in a kilogram.,Bir kilogramda 1000 gram var.
kilometre,kilometre,The village is 15 kilometres from here.,Köy buradan 15 kilometre uzaklıktadır.
kind,tür,She is a very kind woman.,O çok nazik bir kadın.
king,kral,King Henry VIII had 6 wives.,Kral VIII. Henry'nin 6 karısı vardı.
kiss,öpücük,He kissed his daughter.,Kızını öptü.
kitchen,mutfak,The refrigerator is in the kitchen.,Buzdolabı mutfakta.
kite,uçurtma,The kite was flying very high.,Uçurtma çok yüksek uçuyordu.
know,Bilmek,Do you know her address?,Adresini biliyor musun?
land,kara,This is our land.,Burası bizim topraklarımız.
language,dil,She can speak four languages.,Dört dil konuşabilir.
large,büyük,This shirt is too large.,Bu gömlek çok büyük.
last,son,I couldn't answer the last question.,Son soruyu cevaplayamadım.
late,geç,The bus arrived late.,Otobüs geç geldi.
later,Daha sonra,See you later!,Sonra görüşürüz!
law,kanun,Stealing is against the law.,Çalmak yasalara aykırıdır.
lazy,tembel,You're the laziest man I've ever known.,Sen şimdiye kadar tanıdığım en tembel adamsın.
learn,öğrenmek,I want to learn English.,Ben İngilizce öğrenmek istiyorum.
left,sol,You must turn left here.,Buraya sola dönmelisin.
leg,bacak,How many legs does that insect have?,Bu böcek kaç bacak var?
lemon,limon,Lemon has a sour taste.,Limonun ekşi bir tadı vardır.
less,az,He earns less than I do.,Benden daha az kazanıyor.
lesson,ders,What time did your history lesson start?,Tarih dersiniz ne zaman başladı?
let,izin vermek,He won't let me go.,Gitmeme izin vermeyecek.
let's,Haydi,Let's go swimming.,Hadi yüzmeye gidelim.
letter,mektup,J is the tenth letter of the English alphabet.,"J, İngiliz alfabesinin onuncu mektubudur."
library,kütüphane,I borrowed some books from the library.,Kütüphaneden bazı kitaplar ödünç aldım.
lid,kapak,I can't find the lid of the teapot.,Çaydanlık kapağını bulamıyorum.
life,hayat,Is there life on Mars?,Mars'ta hayat var mı?
light,ışık,"Turn on the lights, please.",Işıkları aç lütfen.
like,beğenmek,Do you like him?,Ondan hoşlanıyor musun?
line,astar,He drew a straight line on the page.,Sayfaya düz bir çizgi çizdi.
list,liste,She made a list of things to buy.,Satın alacak şeylerin bir listesini yaptı.
listen,Dinlemek,"Listen to me, please?",Lütfen beni dinle?
litre,litre,I want a litre of milk.,Bir litre süt istiyorum.
little,biraz,The little girl lost her ball.,Küçük kız topunu kaybetti.
a little,biraz,There is a little milk in the fridge.,Buzdolabında biraz süt var.
live,canlı,Fish live in water.,Balıklar suda yaşar.
loaf,somun,Mum bought two loaves of bread.,Annem iki somun ekmek aldı.
local,yerel,The story was published in the local newspaper.,Hikaye yerel gazetede yayınlandı.
lock,kilit,We had to change the lock.,Kilidi değiştirmek zorunda kaldık.
long,uzun,The Nile is the longest river in the world.,"Nil, dünyanın en uzun nehridir."
look,Bakmak,Look at the birds!,Kuşlara bak!
lose,kaybetmek,I often lose my keys.,Sık sık anahtarlarımı kaybederim.
loss,kayıp,His death was a great loss.,Ölümü büyük bir kayıptı.
lot,pay,There are a lot of tourists in the museum.,Müzede birçok turist var.
love,Aşk,She gave him all her love.,Ona tüm sevgisini verdi.
low,Düşük,The water level in the river is low.,Nehirdeki su seviyesi düşüktür.
luck,şans,Wish me luck.,Bana şans Dile.
luggage,bagaj,The man put his luggage on the bus.,Adam bagajını otobüse koydu.
lunch,öğle yemeği,I usually have lunch at 1 pm.,Genellikle saat 13: 00'de öğle yemeği yiyorum.
lung,akciğer,Smoking is very harmful to your lungs.,Sigara içmek akciğerleriniz için çok zararlıdır.
machine,makine,She bought a sewing machine.,Bir dikiş makinesi aldı.
mad,kızgın,You must be mad!,Deli olmalısın!
madam,bayan,"Can I help you, madam?","Yardımcı olabilir miyim, bayan?"
main,ana,This is the main road.,Bu ana yol.
make,yapmak,My mother makes beautiful cakes.,Annem güzel kekler yapıyor.
man,Adam,The man gave his seat to the woman.,Adam kadına oturdu.
manager,müdür,He is the manager of the factory.,Fabrikanın yöneticisidir.
many,birçok,I've got many things to do.,Yapacak çok şeyim var.
march,mart,March is the third month of the year.,Mart yılın üçüncü ayıdır.
market,pazar,I buy all my vegetables at the market.,Tüm sebzelerimi piyasada alıyorum.
marry,evlenmek,Will you marry me?,Benimle evlenir misin?
material,malzeme,We need new materials.,Yeni malzemelere ihtiyacımız var.
maximum,maksimum,What's the maximum temperature recorded in Spain?,İspanya'da kaydedilen maksimum sıcaklık nedir?
may,mayıs,May I sit here?,Buraya oturabilir miyim?
maybe,Belki,Maybe you are right this time.,Belki bu sefer haklısın.
me,Ben,Give me the paper please.,Bana kağıdı verin lütfen.
meaning,Anlam,What's the meaning of that word?,Bu kelimenin anlamı nedir?
mechanic,tamirci,The mechanic is repairing the car.,Tamirci arabayı onarıyor.
meet,tanışmak,I meet many people every day.,Her gün birçok insanla tanışıyorum.
met,tanışmak,He met Fred at the bus stop.,Fred ile otobüs durağında tanıştı.
meeting,toplantı,The manager is in a meeting now.,Yönetici şimdi bir toplantıda.
melon,kavun,We ate the melon last night.,Dün gece kavunu yedik.
member,üye,Members of the club are going to meet this afternoon.,Kulüp üyeleri bu öğleden sonra toplanacak.
memory,hafıza,The information is in the computer's memory.,Bilgiler bilgisayarın belleğinde.
message,İleti,There's a message for you.,Size bir mesaj var.
method,yöntem,What method of teaching do you use?,Hangi öğretim yöntemini kullanıyorsunuz?
middle,orta,The middle finger is the longest.,Orta parmak en uzundur.
in the middle of,ortasında,Don't stand in the middle of the road!,Yolun ortasında durma!
mile,mil,A mile is 1609 meters.,Bir mil 1609 metredir.
military,askeri,They have a strong military force on this island.,Bu adada güçlü bir askeri gücü var.
milk,süt,Is there any milk in the fridge?,Buzdolabında süt var mı?
mind,akıl,Use your mind!,Aklını kullan!
mine,bana ait,That pullover is mine.,O kazak benim.
minimum,minimum,They want minimum two years experience.,En az iki yıllık deneyim istiyorlar.
minus,eksi,Eight minus three is five.,Sekiz eksi üç beş.
minute,dakika,Each lesson lasts 40 minutes.,Her ders 40 dakika sürer.
miss,kayıp,Miss Smith is a secretary.,Bayan Smith bir sekreter.
mising,yanlış,My dog is missing!,Köpeğim kayıp!
mistake,hata,We all make mistakes.,Hepimiz hata yaparız.
mixture,karışım,This is a nice mixture.,Bu güzel bir karışım.
modern,modern,Those buildings are very modern.,Bu binalar çok modern.
moment,an,I will be with you in a moment.,Bir anda seninle olacağım.
monday,Pazartesi,They go to school on Monday.,Pazartesi okula gidiyorlar.
money,para,I need money.,Paraya ihtiyacım var.
month,ay,September is the 9th month of the year.,Eylül yılın 9. ayıdır.
more,Daha,He is more careful than his brother.,Kardeşinden daha dikkatli.
morning,Sabah,I always get up early in the morning.,Her zaman sabah erken kalkarım.
mosque,cami,There are many mosques in Egypt.,Mısır'da birçok cami var.
most,en,You're the most beautiful girl I've ever seen.,Sen şimdiye kadar gördüğüm en güzel kızsın.
mother,anne,I have to visit my mother.,Annemi ziyaret etmeliyim.
mother-in-law,Kayınvalide,My mother-in-law is an interesting person.,Kayınvalidem ilginç bir insan.
mountain,dağ,Everest is the largest mountain in the world.,"Everest, dünyanın en büyük dağıdır."
mouse,fare,She fainted when she saw the mouse in her soup.,Çorbasında fareyi görünce bayıldı.
mouth,ağız,"Open your mouth please, said the dentist.","Diş hekimi, lütfen ağzını aç, dedi."
move,taşınmak,She was sitting without moving.,Hareket etmeden oturuyordu.
movie,film,This is one of the best movies I have ever seen.,Bu şimdiye kadar gördüğüm en iyi filmlerden biri.
mr,Bay,Mr. Smith is a very rich man.,Bay Smith çok zengin bir adam.
mrs,bayan,Mrs Robinson is a clever woman.,Bayan Robinson akıllı bir kadın.
much,fazla,They haven't much money but they are very happy.,Çok para yok ama çok mutlular.
mummy,mumya,Mummy! Can you help me?,Mumya! Bana yardım eder misiniz?
music,müzik,I like classical music.,Klasik müzik severim.
musician,müzisyen,My uncle is a good musician.,Amcam iyi bir müzisyen.
must,mutlak,"You must be home by 12 pm, said her father.","Babası, saat 12'ye kadar evde olmalısın."
my,Benim,This is my book.,Bu benim kitabım.
myself,kendim,I looked at myself in the mirror.,Aynada kendime baktım.
name,isim,I can't remember his name.,Onun adını hatırlayamıyorum.
national,ulusal,Spanish is the national language in Spain.,İspanyolca İspanya'daki ulusal dildir.
nature,doğa,Austria is full of the beauties of nature.,Avusturya doğanın güzellikleriyle doludur.
near,yakın,The bed is near the wardrobe.,Yatak gardırop yakındır.
necessary,gerekli,Food and water are necessary for life.,Yaşam için yiyecek ve su gereklidir.
need,ihtiyaç,I need a new coat.,Yeni bir kata ihtiyacım var.
never,Asla,She never sees her cousins because they live in Japan.,Japonya'da yaşadıkları için kuzenlerini asla görmez.
new,yeni,He has a new car.,Yeni bir arabası var.
news,haberler,The news of his death was in the paper.,Ölüm haberi gazetede idi.
newspaper,gazete,Newspapers don't always tell the truth.,Gazeteler her zaman gerçeği söylemez.
next,Sonraki,The next bus will be here in 10 minutes.,Bir sonraki otobüs 10 dakika içinde burada olacak.
nice,Güzel,You're a very nice girl.,Sen çok iyi bir kızsın.
night,gece,The nights are longer in winter.,Geceler kışın daha uzun.
no,HAYIR,No. You can't smoke here.,Hayır. Burada sigara içemezsin.
no one,hiç kimse,No one came when I knocked on the door.,Kapıyı çaldığımda kimse gelmedi.
nobody,hiç kimse,There was nobody in the room.,Odada kimse yoktu.
none,hiçbiri,None of us knows this place well.,Hiçbirimiz burayı iyi bilmiyoruz.
noon,öğlen,She left home at noon.,Öğlen evinden ayrıldı.
normal,normal,There is more snow than normal this winter.,Bu kış normalden daha fazla kar var.
normally,normalde,Normally the old lady is kind with us.,Normalde yaşlı bayan bizimle naziktir.
north,kuzey,Nord is in the north of France.,Nord Fransa'nın kuzeyinde.
not,Olumsuz,"It is a pen, not a pencil.","Bir kalem değil, kalem değil."
note,Not,Mrs Smith left you a note here.,Bayan Smith size burada bir not bıraktı.
notebook,not defteri,Can I borrow your notebook?,Defterinizi ödünç alabilir miyim?
nothing,Hiçbir şey,Nothing can stop me!,Beni hiçbir şey durduramaz!
noun,isim,Student is a noun.,Öğrenci bir isimdir.
november,kasım,There are thirty days in November.,Kasım ayında otuz gün var.
now,Şimdi,What are you doing now?,Şu anda ne yapıyorsun?
number,sayı,What is your telephone number?,Telefon numaran ne?
nurse,hemşire,Can's sister is a nurse.,Can'ın kız kardeşi bir hemşire.
nut,ceviz,They ate nuts with their beer.,Biralarıyla fındık yiyorlar.
ocean,okyanus,The Pacific Ocean is the largest in the world.,Pasifik Okyanusu dünyanın en büyüğüdür.
o'clock,saat,It is 5 o'clock.,Saat 5.
october,ekim,There will be a festival in October.,Ekim ayında bir festival olacak.
of,ile ilgili,The cover of the book is black.,Kitabın kapağı siyah.
of course,Elbette,May I sit here? Of course!,Buraya oturabilir miyim? Elbette!
off,kapalı,He got into his car and drove off.,Arabasına girdi ve yola çıktı.
office,ofis,Could you come to my office in the afternoon?,Öğleden sonra ofisime gelebilir misin?
officer,subay,He was an officer in the army.,Orduda bir subaydı.
often,sıklıkla,He often tells lies.,Sık sık yalan söyler.
OK,TAMAM,OK! I will come.,TAMAM! Geleceğim.
okay,Tamam,"Okay, you can have my watch.","Tamam, saatimi alabilirsin."
old,eskimiş,Pisa tower is very old.,Pisa Kulesi çok eski.
olive,zeytin,She ate all the olives.,Tüm zeytinleri yedi.
on,Açık,The vase is on the television.,Vazo televizyonda.
once,bir kere,There was once a small river running across the town.,Bir zamanlar kasabada koşan küçük bir nehir vardı.
one,bir,Only one of us may stay.,Sadece birimiz kalabilir.
only,sadece,I've got only one pair of shoes.,Sadece bir çift ayakkabım var.
open,açık,The shop is open.,Dükkan açık.
or,veya,I'll have a pear or an apple.,Bir armut ya da elma alacağım.
orange,turuncu,She peeled the oranges.,Portakalları soydu.
order,emir,He ordered four teas.,Dört çay emretti.
organize,düzenlemek,The teacher organized a picnic.,Öğretmen bir piknik düzenledi.
original,orijinal,The painting is an original by Van Gogh.,Resim Van Gogh'un orijinali.
other,diğer,Where is the other pencil?,Diğer kalem nerede?
our,bizim,Our car is very old.,Arabamız çok eski.
ours,bizim,This is his table. That is ours.,Bu onun masası. Bu bizim.
ourselves,kendimizi,We built our house ourselves.,Evimizi kendimiz inşa ettik.
out,dışarı,I want to go out.,Dışarı çıkmak istiyorum.
outside,dıştan,What's happening outside?,Dışarıda ne oluyor?
over,üzerinde,The horse jumped over the fence.,At çitin üzerinden atladı.
own,sahip olmak,This is my own house.,Bu benim kendi evim.
p.m.,öğleden sonra.,I said 5 p.m. not a.m.,5:00 dedim. A.M.
page,sayfa,Do the exercises on page 7.,Egzersizleri sayfa 7'de yapın.
painter,ressam,Most famous painters started painting when they were children.,Çoğu ünlü ressam çocukken resim yapmaya başladı.
paper,kağıt,He wrapped the cheese in paper.,Peyniri kağıda sardı.
parents,ebeveynler,My parents are living in Ankara.,Ailem Ankara'da yaşıyor.
park,park,Shall we go to the park?,Parka gidecek miyiz?
part,parça,The second part of the book is very dull.,Kitabın ikinci kısmı çok sıkıcı.
party,Parti,There were 20 people at John's birthday party.,John'un doğum günü partisinde 20 kişi vardı.
pass,geçmek,The car passed the bus. Pass me that book.,Araba otobüse geçti. Bana o kitabı geç.
path,yol,There is a path to the building.,Binaya bir yol var.
pay,ödemek,How much did you pay for the tickets?,Biletler için ne kadar ödedin?
pen,dolma kalem,Can you give me a pen?,Bana bir kalem verebilir misin?
pencil,kalem,Have you got another pencil?,Başka bir kalem var mı?
people,insanlar,How many people are there on the bus?,Otobüste kaç kişi var?
perhaps,belki,Perhaps he is at home.,Belki de evde.
person,kişi,I don't know that person.,O kişiyi tanımıyorum.
pharmacy,eczane,Is there a pharmacy near the hospital?,Hastaneye yakın bir eczane var mı?
phone,telefon,Is there a phone near here?,Burada bir telefon var mı?
phonecard,telefon kartı,Can I use your phonecard?,Telefon kartınızı kullanabilir miyim?
piano,piyano,Piano is an expensive instrument.,Piyano pahalı bir enstrümandır.
pick,seçmek,He picked some flowers for his mother.,Annesi için biraz çiçek seçti.
picnic,piknik,Last week we had a picnic in the country.,Geçen hafta ülkede piknik yaptık.
picture,resim,There were 10 pictures on the wall.,Duvarda 10 resim vardı.
piece,parça,Have a piece of cake.,Bir parça kek var.
pig,domuz,Pigs are dirty animals.,Domuzlar kirli hayvanlardır.
ping-pong,masa Tenisi,Let's play ping-pong!,Hadi ping-pong oynayalım!
place,yer,I need a place to stay.,Kalmak için bir yere ihtiyacım var.
plan,plan,Have you got a plan of the house?,Evin bir planı var mı?
play,oynamak,Do you play football?,Futbol oynar mısın?
player,oyuncu,They have two great players in their team.,Takımlarında iki harika oyuncu var.
please,Lütfen,Will you please open the window?,Lütfen pencereyi açar mısınız?
pleased,memnun,Are you pleased with your job?,İşinizden memnun musunuz?
plural,çoğul,Children is the plural of child.,Çocuklar çocuğun çoğuldur.
point,nokta,They won the game by 98 points to 96.,Oyunu 98 puan kazandılar.
police,polis,The police are looking for the bank robbers.,Polis banka soyguncularını arıyor.
policeman,polis,The policeman aimed his gun at the robber.,Polis silahını soyguncuya yönlendirdi.
policewoman,polis,The policewoman caught the burglar.,Polis kadın hırsızlığı yakaladı.
pool,havuz,I don't like swimming in the pool.,Havuzda yüzmeyi sevmiyorum.
poor,fakir,There are many poor people in India.,Hindistan'da birçok fakir insan var.
popcorn,patlamış mısır,My grandmather makes beautiful popcorn.,Büyükannem güzel patlamış mısır yapıyor.
pork,domuz eti,I don't eat pork.,Domuz eti yemiyorum.
possible,olası,Is it possible for you to come?,Gelmen mümkün mü?
possibly,muhtemelen,"If it stops raining, possibly your mom will let you go out and play.","Yağmur yağmayı bırakırsa, muhtemelen anneniz dışarı çıkıp oynamanıza izin verecektir."
post office,Postane,She went to the post office at 10.,10'da postaneye gitti.
postcard,kartpostal,She's sent two postcards since she went.,Gittiğinden beri iki kartpostal gönderdi.
pot,tencere,They sell old pots in this shop.,Bu dükkanda eski tencere satıyorlar.
potato,patates,How much is a kilo of potatoes?,Bir kilo patates ne kadar?
power,güç,They are buildings a nuclear power station.,Onlar bir nükleer santral binalarıdır.
practice,pratik,He has gone to football practice.,Futbol antrenmanına gitti.
prepare,hazırlanmak,He prepared breakfast for his wife.,Karısı için kahvaltı hazırladı.
preposition,edat,There are a lot of prepositions in English.,İngilizce'de çok sayıda edat var.
press,basmak,The little boy pressed the button hard.,Küçük çocuk düğmeye sert bastı.
price,fiyat,What is the price of this watch?,Bu saatin fiyatı nedir?
priest,rahip,The priest walked into the church.,Rahip kiliseye girdi.
private,özel,She went to a private school.,Özel bir okula gitti.
probably,muhtemelen,This team will probably win.,Bu takım muhtemelen kazanacak.
problem,sorun,What is your problem?,Senin problemin ne?
produce,üretmek,What do you produce in your factory?,Fabrikanızda ne üretiyorsunuz?
profit,kâr,He made 75% profit this year.,Bu yıl% 75 kâr elde etti.
programme,program,This language programme takes 6 months.,Bu dil programı 6 ay sürer.
project,proje,He is working hard on his project.,Projesi üzerinde çok çalışıyor.
pronounce,telaffuz,She pronounced every word correctly.,Her kelimeyi doğru telaffuz etti.
proud,gurur duymak,My parents are proud of me.,Ailem benimle gurur duyuyor.
public,halk,We are not allowed to smoke in public places.,Halka açık yerlerde sigara içmemize izin verilmiyor.
pull,çekmek,She pulled my hair.,Saçımı çekti.
pullover,kenara çekmek,Put on your pullover. It's cold.,Kropunu koyun. Hava soğuk.
puppy,köpek yavrusu,Let's feed the puppy.,Yavru köpeği besleyelim.
purpose,amaç,What is your purpose in doing this?,Bunu yapmanın amacınız nedir?
push,itmek,They pushed the table.,Masaya ittiler.
put,koymak,Put the flowers in a vase.,Çiçekleri bir vazoya koyun.
quality,kalite,These computers are very good quality.,Bu bilgisayarlar çok kaliteli.
quarter,çeyrek,It's a quarter past nine.,Dokuzu çeyrek geçiyor.
question,soru,I couldn't answer most of the questions.,Soruların çoğuna cevap veremedim.
quick,hızlı,Please be quick. I'm in a hurry.,Lütfen çabuk ol. Acelem var.
quickly,hızlıca,He talks very quickly. I can't understand.,Çok çabuk konuşuyor. Anlayamıyorum.
radio,radyo,Turn on the radio. I want to hear the news.,Radyoyu aç. Haberleri duymak istiyorum.
rain,yağmur,Take an umbrella. It's raining.,Bir şemsiye al. Yağmur yağıyor.
raincoat,yağmurluk,Take your raincoat. It might rain.,Yağmurluk'u al. Yağmur yağabilir.
rainy,yağmurlu,He goes fishing on rainy days.,Yağmurlu günlerde balık tutmaya gidiyor.
rather,yerine,He is rather old.,Oldukça yaşlı.
reach,ulaşmak,She is too short to reach the apple on the shelf.,Raftaki elmaya ulaşmak için çok kısa.
read,Okumak,Have you read this book?,Bu kitabı okudun mu?
reader,okuyucu,Readers like his stories.,Okuyucular hikayelerini sever.
ready,hazır,Are you ready?,Hazır mısın?
real,gerçek,Are those flowers real or plastic?,Bu çiçekler gerçek mi plastik mi?
really,Gerçekten,He was really ill yesterday.,Dün gerçekten hastaydı.
reason,sebep,What is your reason for leaving?,Ayrılma nedeniniz nedir?
reasonable,mantıklı,There should be a reasonable excuse.,Makul bir mazeret olmalı.
receive,almak,I recevied 2 letters yesterday.,Dün 2 harf aldım.
record,kayıt,I've got hundreds of records.,Yüzlerce kaydım var.
red,kırmızı,She is often in red.,Genellikle kırmızıdır.
referee,hakem,The referee stopped the match.,Hakem maçı durdurdu.
refuse,reddetmek,I refused his offer.,Teklifini reddettim.
remember,Unutma,Do you remember this place?,Burayı hatırlıyor musun?
remind,hatırlatmak,Would you please remind me when time is up?,Zaman dolduğunda bana hatırlatır mısın?
report,rapor,There has been no report on this event.,Bu olay hakkında bir rapor yoktu.
rest,dinlenmek,He's resting at the moment.,Şu anda dinleniyor.
result,sonuç,What was the result of the election?,Seçimin sonucu neydi?
rich,zengin,His relatives are very rich.,Akrabaları çok zengin.
right,Sağ,His answer was right.,Cevabı haklıydı.
rang,çırpmak,The bell rang at 2 o'clock.,Çan saat 2'de çaldı.
ring,yüzük,He rings his wife everyday.,Karısını her gün çalar.
risk,risk,It was a great risk for him to climb up the tree.,Ağaca tırmanması onun için büyük bir riskti.
road,yol,Where does this road go?,Bu yol nereye gider?
room,oda,Keep your room clean.,Odanızı temiz tutun.
ruler,cetvel,Can you lend me your ruler?,Bana hükümdarını ödünç verebilir misin?
run,koşmak,He had to run to catch the bus.,Otobüsü yakalamak için koşmak zorunda kaldı.
sad,üzgün,You look sad. What's wrong?,Üzgün ​​görünüyorsun. Sorun nedir?
salad,salata,"Can I have some salad, please?",Biraz salata alabilir miyim lütfen?
salary,maaş,What is your salary?,Maaşın nedir?
same,Aynı,His shirt is the same as mine.,Gömleği benimkiyle aynı.
saturday,Cumartesi,Schools are closed on Saturday.,Okullar Cumartesi günü kapalıdır.
say,söylemek,What did you say?,Ne dedin?
school,okul,Do you go to school?,Okula gidiyormusun?
science,bilim,He studied science at school.,Okulda bilim okudu.
sea,deniz,I like swimming in the sea.,Denizde yüzmeyi seviyorum.
season,mevsim,"Which season do you like best, summer or autumn?","En çok, yaz veya sonbaharı hangi sezonu seviyorsunuz?"
seat,koltuk,Can I sit on this seat?,Bu koltuğa oturabilir miyim?
second,ikinci,That is the second window you've broken!,Bu kırdığın ikinci pencere!
see,Görmek,Can you see the ship?,Gemiyi görebiliyor musun?
seem,gözükmek,She always seems sad.,Her zaman üzgün görünüyor.
sell,satmak,I sell shoes in the market.,Piyasada ayakkabı satıyorum.
send,Göndermek,Send these flowers to my mother.,Bu çiçekleri anneme gönder.
